Year,Quarter,GDP,GDPDEF
1947,1, 243.1 ,12.566
1947,2, 246.3 ,12.745
1947,3, 250.1 ,12.957
1947,4, 260.3 ,13.276
1948,1, 266.2 ,13.379
1948,2, 272.9 ,13.497
1948,3, 279.5 ,13.747
1948,4, 280.7 ,13.789
1949,1, 275.4 ,13.717
1949,2, 271.7 ,13.579
1949,3, 273.3 ,13.509
1949,4, 271.0 ,13.518
1950,1, 281.2 ,13.490
1950,2, 290.7 ,13.538
1950,3, 308.5 ,13.832
1950,4, 320.3 ,14.090
1951,1, 336.4 ,14.596
1951,2, 344.5 ,14.692
1951,3, 351.8 ,14.701
1951,4, 356.6 ,14.869
1952,1, 360.2 ,14.863
1952,2, 361.4 ,14.882
1952,3, 368.1 ,15.048
1952,4, 381.2 ,15.091
1953,1, 388.5 ,15.096
1953,2, 392.3 ,15.125
1953,3, 391.7 ,15.188
1953,4, 386.5 ,15.219
1954,1, 385.9 ,15.266
1954,2, 386.7 ,15.281
1954,3, 391.6 ,15.300
1954,4, 400.3 ,15.343
1955,1, 413.8 ,15.417
1955,2, 422.2 ,15.481
1955,3, 430.9 ,15.590
1955,4, 437.8 ,15.743
1956,1, 440.5 ,15.902
1956,2, 446.8 ,15.997
1956,3, 452.0 ,16.197
1956,4, 461.3 ,16.264
1957,1, 470.6 ,16.485
1957,2, 472.8 ,16.601
1957,3, 480.3 ,16.701
1957,4, 475.7 ,16.711
1958,1, 468.4 ,16.892
1958,2, 472.8 ,16.940
1958,3, 486.7 ,17.043
1958,4, 500.4 ,17.123
1959,1, 511.1 ,17.169
1959,2, 524.2 ,17.194
1959,3, 525.2 ,17.258
1959,4, 529.3 ,17.326
1960,1, 543.3 ,17.397
1960,2, 542.7 ,17.443
1960,3, 546.0 ,17.506
1960,4, 541.1 ,17.560
1961,1, 545.9 ,17.598
1961,2, 557.4 ,17.641
1961,3, 568.2 ,17.687
1961,4, 581.6 ,17.745
1962,1, 595.2 ,17.837
1962,2, 602.6 ,17.866
1962,3, 609.6 ,17.903
1962,4, 613.1 ,17.938
1963,1, 622.7 ,18.017
1963,2, 631.8 ,18.047
1963,3, 645.0 ,18.069
1963,4, 654.8 ,18.216
1964,1, 671.1 ,18.274
1964,2, 680.8 ,18.318
1964,3, 692.8 ,18.392
1964,4, 698.4 ,18.476
1965,1, 719.2 ,18.569
1965,2, 732.4 ,18.652
1965,3, 750.2 ,18.726
1965,4, 773.1 ,18.853
1966,1, 797.3 ,18.975
1966,2, 807.2 ,19.131
1966,3, 820.8 ,19.317
1966,4, 834.9 ,19.481
1967,1, 846.0 ,19.562
1967,2, 851.1 ,19.661
1967,3, 866.6 ,19.849
1967,4, 883.2 ,20.067
1968,1, 911.1 ,20.290
1968,2, 936.3 ,20.504
1968,3, 952.3 ,20.706
1968,4, 970.1 ,20.999
1969,1, 995.4 ,21.217
1969,2," 1,011.4 ",21.488
1969,3," 1,032.0 ",21.790
1969,4," 1,040.7 ",22.071
1970,1," 1,053.5 ",22.382
1970,2," 1,070.1 ",22.694
1970,3," 1,088.5 ",22.880
1970,4," 1,091.5 ",23.182
1971,1," 1,137.8 ",23.536
1971,2," 1,159.4 ",23.846
1971,3," 1,180.3 ",24.088
1971,4," 1,193.6 ",24.288
1972,1," 1,233.8 ",24.664
1972,2," 1,270.1 ",24.815
1972,3," 1,293.8 ",25.048
1972,4," 1,332.0 ",25.366
1973,1," 1,380.7 ",25.661
1973,2," 1,417.6 ",26.052
1973,3," 1,436.8 ",26.549
1973,4," 1,479.1 ",27.077
1974,1," 1,494.7 ",27.592
1974,2," 1,534.2 ",28.248
1974,3," 1,563.4 ",29.067
1974,4," 1,603.0 ",29.923
1975,1," 1,619.6 ",30.601
1975,2," 1,656.4 ",31.059
1975,3," 1,713.8 ",31.612
1975,4," 1,765.9 ",32.139
1976,1," 1,824.5 ",32.473
1976,2," 1,856.9 ",32.803
1976,3," 1,890.5 ",33.226
1976,4," 1,938.4 ",33.815
1977,1," 1,992.5 ",34.359
1977,2," 2,060.2 ",34.841
1977,3," 2,122.4 ",35.270
1977,4," 2,168.7 ",36.036
1978,1," 2,208.7 ",36.573
1978,2," 2,336.6 ",37.242
1978,3," 2,398.9 ",37.865
1978,4," 2,482.2 ",38.661
1979,1," 2,531.6 ",39.352
1979,2," 2,595.9 ",40.304
1979,3," 2,670.4 ",41.165
1979,4," 2,730.7 ",41.986
1980,1," 2,796.5 ",42.859
1980,2," 2,799.9 ",43.800
