Year,Month,M1,M2,TB3MS
1959,1,138.9,286.6,2.82
1959,2,139.4,287.7,2.70
1959,3,139.7,289.2,2.80
1959,4,139.7,290.1,2.95
1959,5,140.7,292.2,2.84
1959,6,141.2,294.1,3.21
1959,7,141.7,295.2,3.20
1959,8,141.9,296.4,3.38
1959,9,141.0,296.7,4.04
1959,10,140.5,296.5,4.05
1959,11,140.4,297.1,4.15
1959,12,139.9,297.8,4.49
1960,1,140.0,298.2,4.35
1960,2,139.9,298.5,3.96
1960,3,139.8,299.4,3.31
1960,4,139.6,300.1,3.23
1960,5,139.6,300.9,3.29
1960,6,139.6,302.3,2.46
1960,7,140.2,304.1,2.30
1960,8,141.3,306.9,2.30
1960,9,141.2,308.4,2.48
1960,10,140.9,309.5,2.30
1960,11,140.9,310.9,2.37
1960,12,140.7,312.4,2.25
1961,1,141.1,314.1,2.24
1961,2,141.6,316.5,2.42
1961,3,141.9,318.3,2.39
1961,4,142.1,319.9,2.29
1961,5,142.7,322.2,2.29
1961,6,142.9,324.3,2.33
1961,7,142.9,325.6,2.24
1961,8,143.5,327.6,2.39
1961,9,143.8,329.5,2.28
1961,10,144.1,331.1,2.30
1961,11,144.8,333.4,2.48
1961,12,145.2,335.5,2.60
1962,1,145.2,337.5,2.72
1962,2,145.7,340.1,2.73
1962,3,146.0,343.1,2.72
1962,4,146.4,345.5,2.73
1962,5,146.8,347.5,2.69
1962,6,146.6,349.3,2.73
1962,7,146.5,350.8,2.92
1962,8,146.6,352.8,2.82
1962,9,146.3,354.9,2.78
1962,10,146.7,357.2,2.74
1962,11,147.3,359.8,2.83
1962,12,147.8,362.7,2.87
1963,1,148.3,365.2,2.91
1963,2,148.9,367.9,2.92
1963,3,149.2,370.7,2.89
1963,4,149.7,373.3,2.90
1963,5,150.4,376.1,2.93
1963,6,150.4,378.4,2.99
1963,7,151.3,381.1,3.18
1963,8,151.8,383.6,3.32
1963,9,152.0,386.0,3.38
1963,10,152.6,388.3,3.45
1963,11,153.6,391.5,3.52
1963,12,153.3,393.2,3.52
1964,1,153.7,395.2,3.52
1964,2,154.3,397.6,3.53
1964,3,154.5,399.8,3.54
1964,4,154.8,401.7,3.47
1964,5,155.3,404.2,3.48
1964,6,155.6,407.1,3.48
1964,7,156.8,410.1,3.46
1964,8,157.8,413.4,3.50
1964,9,158.7,416.9,3.53
1964,10,159.2,419.1,3.57
1964,11,160.0,422.0,3.64
1964,12,160.3,424.7,3.84
1965,1,160.7,427.5,3.81
1965,2,160.9,430.4,3.93
1965,3,161.5,433.2,3.93
1965,4,162.0,435.4,3.93
1965,5,161.7,437.1,3.89
1965,6,162.2,440.1,3.80
1965,7,163.0,442.9,3.84
1965,8,163.7,445.8,3.84
1965,9,164.8,449.5,3.92
1965,10,166.0,452.6,4.03
1965,11,166.7,455.7,4.09
1965,12,167.8,459.2,4.38
1966,1,169.1,462.0,4.59
